dataset	description	version	name	taxon_id	genbank_accession	mart	n_gene	n_bp_genesets	n_cc_genesets	n_mf_genesets	ncbi_genome_link
cpseudohaemulonis_eg_gene	[Candida] pseudohaemulonii genes (GCA003013735v1)	GCA003013735v1	[Candida] pseudohaemulonii	418784	GCA_003013735.1	fungi_mart	5285	3952	891	1921	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/013/735//GCA_003013735.1_Cand_pseudohaemulonii_B12108/GCA_003013735.1_Cand_pseudohaemulonii_B12108_assembly_report.txt
ctropicalis_eg_gene	Candida tropicalis genes (GCA000006335v3)	GCA000006335v3	Candida tropicalis	294747	GCA_000006335.3	fungi_mart	6441	4382	943	2059	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/006/335//GCA_000006335.3_ASM633v3/GCA_000006335.3_ASM633v3_assembly_report.txt
dseptosporum_eg_gene	Dothistroma septosporum genes (Dothistroma septosporum NZE10 v1.0)	Dothistroma septosporum NZE10 v1.0	Dothistroma septosporum	675120	GCA_000340195.1	fungi_mart	12574	3983	884	2021	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/340/195//GCA_000340195.1_Dothistroma_septosporum_NZE10_v1.0/GCA_000340195.1_Dothistroma_septosporum_NZE10_v1.0_assembly_report.txt
fculmorum_eg_gene	Fusarium culmorum UK99 genes (EF 1)	EF 1	Fusarium culmorum UK99	1318462	GCA_900074845.1	fungi_mart	12842	3447	817	1707	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/074/845//GCA_900074845.1_FcUK99v1.2/GCA_900074845.1_FcUK99v1.2_assembly_report.txt
ffujikuroi_eg_gene	Fusarium fujikuroi genes (EF 1)	EF 1	Fusarium fujikuroi	5127	GCA_000315255.1	fungi_mart	15455	3923	877	2064	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/315/255//GCA_000315255.1_B14_02/GCA_000315255.1_B14_02_assembly_report.txt
fgraminearum_eg_gene	Fusarium graminearum str. PH-1 genes (RR1)	RR1	Fusarium graminearum str. PH-1	5518	GCA_900044135.1	fungi_mart	14898	3754	852	1894	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/044/135//GCA_900044135.1_GZPH1RResV1/GCA_900044135.1_GZPH1RResV1_assembly_report.txt
foxysporum_eg_gene	Fusarium oxysporum genes (FO2)	FO2	Fusarium oxysporum	426428	GCA_000222805.1	fungi_mart	18206	3800	852	1971	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/222/805//GCA_000222805.1_FOB1/GCA_000222805.1_FOB1_assembly_report.txt
fpseudograminearum_eg_gene	Fusarium pseudograminearum genes (FP7)	FP7	Fusarium graminearum	5518	GCA_901446245.1	fungi_mart	13232	4021	863	2062	https://ftp.ncbi.nih.gov/genomes/all/GCA/901/446/245//GCA_901446245.1_MDC_Fg13/GCA_901446245.1_MDC_Fg13_assembly_report.txt
fsolani_eg_gene	Fusarium solani genes (v2.0)	v2.0	Fusarium solani	660122	GCA_000151355.1	fungi_mart	16163	4032	869	2046	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/151/355//GCA_000151355.1_v2.0/GCA_000151355.1_v2.0_assembly_report.txt
fverticillioides_eg_gene	Fusarium verticillioides genes (ASM14955v1)	ASM14955v1	Fusarium verticillioides	334819	GCA_000149555.1	fungi_mart	14697	3932	854	1972	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/149/555//GCA_000149555.1_ASM14955v1/GCA_000149555.1_ASM14955v1_assembly_report.txt
ggraminis_eg_gene	Gaeumannomyces tritici R3-111a-1 genes (Gae_graminis_V2)	Gae_graminis_V2	Gaeumannomyces tritici R3-111a-1	644352	GCA_000145635.1	fungi_mart	14744	3997	902	2005	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/145/635//GCA_000145635.1_Gae_graminis_V2/GCA_000145635.1_Gae_graminis_V2_assembly_report.txt
gultimum_eg_gene	Globisporangium ultimum genes (GCA000143045v1)	GCA000143045v1	Sporisorium reilianum	999809	GCA_000230245.1	fungi_mart	15430	2176	532	1496	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/230/245//GCA_000230245.1_ASM23024v1/GCA_000230245.1_ASM23024v1_assembly_report.txt
hcapsulatum_eg_gene	Histoplasma capsulatum genes (GCA000170615v1)	GCA000170615v1	Histoplasma capsulatum	2902605	GCA_000170615.1	fungi_mart	11221	3461	798	1682	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/170/615//GCA_000170615.1_ASM17061v1/GCA_000170615.1_ASM17061v1_assembly_report.txt
kpastoris_eg_gene	Komagataella pastoris genes (ASM2700v1)	ASM2700v1	Komagataella pastoris	4922	GCA_001708105.1	fungi_mart	5392	4215	903	1975	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/708/105//GCA_001708105.1_ASM170810v1/GCA_001708105.1_ASM170810v1_assembly_report.txt
lmaculans_eg_gene	Leptosphaeria maculans genes (ASM23037v1)	ASM23037v1	Leptosphaeria maculans	985895	GCA_000230375.1	fungi_mart	12805	3825	861	2007	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/230/375//GCA_000230375.1_ASM23037v1/GCA_000230375.1_ASM23037v1_assembly_report.txt
mlaricipopulina_eg_gene	Melampsora larici-populina genes (v1.0)	v1.0	Melampsora larici-populina	747676	GCA_000204055.1	fungi_mart	17140	3699	824	1803	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/204/055//GCA_000204055.1_v1.0/GCA_000204055.1_v1.0_assembly_report.txt
moryzae_eg_gene	Magnaporthe oryzae genes (MG8)	MG8	Magnaporthe oryzae	242507	GCA_000002495.2	fungi_mart	13470	3978	881	2054	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/495//GCA_000002495.2_MG8/GCA_000002495.2_MG8_assembly_report.txt
mpoae_eg_gene	Magnaporthe poae genes (Mag_poae_ATCC_64411_V1)	Mag_poae_ATCC_64411_V1	Magnaporthe poae	644358	GCA_000193285.1	fungi_mart	12594	4143	906	1900	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/193/285//GCA_000193285.1_Mag_poae_ATCC_64411_V1/GCA_000193285.1_Mag_poae_ATCC_64411_V1_assembly_report.txt
mviolaceum_eg_gene	Microbotryum violaceum genes (M_violaceum_V1)	M_violaceum_V1	Microbotryum violaceum	683840	GCA_000166175.1	fungi_mart	7634	3589	799	1774	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/166/175//GCA_000166175.1_M_violaceum_V1/GCA_000166175.1_M_violaceum_V1_assembly_report.txt
ncrassa_eg_gene	Neurospora crassa genes (NC12)	NC12	Neurospora crassa	367110	GCA_000182925.2	fungi_mart	10685	5107	1070	2602	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/182/925//GCA_000182925.2_NC12/GCA_000182925.2_NC12_assembly_report.txt
nfischeri_eg_gene	Aspergillus fischeri NRRL 181 genes (ASM14964v1)	ASM14964v1	Aspergillus fischeri NRRL 181	331117	GCA_000149645.2	fungi_mart	10652	4132	903	2135	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/149/645//GCA_000149645.2_ASM14964v1/GCA_000149645.2_ASM14964v1_assembly_report.txt
pchrysosporium_eg_gene	Phanerochaete chrysosporium genes (GCA000167175v1)	GCA000167175v1	Phanerochaete chrysosporium	273507	GCA_000167175.1	fungi_mart	13602	3466	786	1648	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/167/175//GCA_000167175.1_ASM16717v1/GCA_000167175.1_ASM16717v1_assembly_report.txt
pgraminis_eg_gene	Puccinia graminis genes (ASM14992v1)	ASM14992v1	Puccinia graminis	418459	GCA_000149925.1	fungi_mart	16373	4268	967	2138	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/149/925//GCA_000149925.1_ASM14992v1/GCA_000149925.1_ASM14992v1_assembly_report.txt
pgraminisug99_eg_gene	Puccinia graminis Ug99 genes (v1)	v1	Puccinia graminis Ug99	1040990	-	fungi_mart	25312	3060	706	1456	NA
pnodorum_eg_gene	Phaeosphaeria nodorum genes (ASM14691v1)	ASM14691v1	Phaeosphaeria nodorum	321614	GCA_000146915.1	fungi_mart	12773	4682	1020	2466	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/146/915//GCA_000146915.1_ASM14691v1/GCA_000146915.1_ASM14691v1_assembly_report.txt
poryzae_eg_gene	Magnaporthe oryzae genes (GCA900474545v2)	GCA900474545v2	Magnaporthe oryzae	318829	GCA_900474545.2	fungi_mart	14781	3568	814	1812	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/474/545//GCA_900474545.2_BR32_contigs/GCA_900474545.2_BR32_contigs_assembly_report.txt
pstriiformis_eg_gene	Puccinia striiformis f. sp. tritici PST-130 str. Race 130 genes (PST-130_1.0)	PST-130_1.0	Puccinia striiformis f. sp. tritici PST-130 str. Race 130	875184	GCA_000223505.1	fungi_mart	18326	3064	695	1424	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/223/505//GCA_000223505.1_PST-130_1.0/GCA_000223505.1_PST-130_1.0_assembly_report.txt
pteres_eg_gene	Pyrenophora teres genes (PyrTer_1.0)	PyrTer_1.0	Pyrenophora teres f. teres	97479	GCA_900232045.2	fungi_mart	12103	3929	859	2035	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/232/045//GCA_900232045.2_ERZ370274/GCA_900232045.2_ERZ370274_assembly_report.txt
ptriticina_eg_gene	Puccinia triticina genes (ASM15152v1)	ASM15152v1	Puccinia triticina	630390	GCA_000151525.1	fungi_mart	14202	3841	822	1758	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/151/525//GCA_000151525.1_ASM15152v1/GCA_000151525.1_ASM15152v1_assembly_report.txt
ptriticirepentis_eg_gene	Pyrenophora tritici-repentis Pt-1C-BFP genes (ASM14998v1)	ASM14998v1	Pyrenophora tritici-repentis Pt-1C-BFP	426418	GCA_000149985.1	fungi_mart	12298	4036	891	2031	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/149/985//GCA_000149985.1_ASM14998v1/GCA_000149985.1_ASM14998v1_assembly_report.txt
scerevisiae_eg_gene	Saccharomyces cerevisiae genes (R64-1-1)	R64-1-1	Saccharomyces cerevisiae	559292	GCA_000146045.2	fungi_mart	7127	5066	1065	2576	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/146/045//GCA_000146045.2_R64/GCA_000146045.2_R64_assembly_report.txt
scryophilus_eg_gene	Schizosaccharomyces cryophilus genes (SCY4)	SCY4	Schizosaccharomyces cryophilus	653667	GCA_000004155.2	fungi_mart	6257	4629	988	2149	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/004/155//GCA_000004155.2_SCY4/GCA_000004155.2_SCY4_assembly_report.txt
sjaponicus_eg_gene	Schizosaccharomyces japonicus genes (SJ5)	SJ5	Schizosaccharomyces japonicus	402676	GCA_000149845.2	fungi_mart	6006	4549	976	2090	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/149/845//GCA_000149845.2_SJ5/GCA_000149845.2_SJ5_assembly_report.txt
soctosporus_eg_gene	Schizosaccharomyces octosporus genes (SO6)	SO6	Schizosaccharomyces octosporus	483514	GCA_000150505.2	fungi_mart	6136	4617	987	2148	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/150/505//GCA_000150505.2_SO6/GCA_000150505.2_SO6_assembly_report.txt
spombe_eg_gene	Schizosaccharomyces pombe genes (ASM294v2)	ASM294v2	Schizosaccharomyces pombe	284812	GCA_000002945.2	fungi_mart	7268	4984	1046	2542	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/945//GCA_000002945.2_ASM294v2/GCA_000002945.2_ASM294v2_assembly_report.txt
sreilianum_eg_gene	Sporisorium reilianum genes (ASM23024v1)	ASM23024v1	Sporisorium reilianum	999809	GCA_000230245.1	fungi_mart	6911	3615	825	1836	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/230/245//GCA_000230245.1_ASM23024v1/GCA_000230245.1_ASM23024v1_assembly_report.txt
ssclerotiorum_eg_gene	Sclerotinia sclerotiorum genes (ASM14694v1)	ASM14694v1	Sclerotinia sclerotiorum	665079	GCA_000146945.1	fungi_mart	10637	4197	958	2090	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/146/945//GCA_000146945.1_ASM14694v1/GCA_000146945.1_ASM14694v1_assembly_report.txt
tmelanosporum_eg_gene	Tuber melanosporum genes (ASM15164v1)	ASM15164v1	Tuber melanosporum	656061	GCA_000151645.1	fungi_mart	7976	4001	879	1959	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/151/645//GCA_000151645.1_ASM15164v1/GCA_000151645.1_ASM15164v1_assembly_report.txt
treesei_eg_gene	Trichoderma reesei genes (v2.0)	v2.0	Trichoderma parareesei	858221	GCA_001050175.1	fungi_mart	9651	4032	868	2018	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/050/175//GCA_001050175.1_Tpara_v1.0/GCA_001050175.1_Tpara_v1.0_assembly_report.txt
tvirens_eg_gene	Trichoderma virens genes (ASM17099v1)	ASM17099v1	Trichoderma virens	413071	GCA_000170995.2	fungi_mart	12758	4043	880	2055	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/170/995//GCA_000170995.2_TRIVI_v2.0/GCA_000170995.2_TRIVI_v2.0_assembly_report.txt
umaydis_eg_gene	Ustilago maydis genes (Umaydis521_2.0)	Umaydis521_2.0	Ustilago maydis	237631	GCA_000328475.2	fungi_mart	7059	4541	988	2312	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/328/475//GCA_000328475.2_Umaydis521_2.0/GCA_000328475.2_Umaydis521_2.0_assembly_report.txt
vdahliae_eg_gene	Verticillium dahliae genes (ASM15067v2)	ASM15067v2	Verticillium dahliae	498257	GCA_000150675.2	fungi_mart	11132	4386	936	2149	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/150/675//GCA_000150675.2_ASM15067v2/GCA_000150675.2_ASM15067v2_assembly_report.txt
vdahliaejr2_eg_gene	Verticillium dahliae JR2 genes (VDAG_JR2v.4.0)	VDAG_JR2v.4.0	Verticillium dahliae JR2	1202531	GCA_000400815.2	fungi_mart	11637	3516	829	1726	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/400/815//GCA_000400815.2_VDAG_JR2v.4.0/GCA_000400815.2_VDAG_JR2v.4.0_assembly_report.txt
ylipolytica_eg_gene	Yarrowia lipolytica genes (ASM252v1)	ASM252v1	Yarrowia lipolytica	284591	GCA_000002525.1	fungi_mart	8382	4448	991	2300	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/525//GCA_000002525.1_ASM252v1/GCA_000002525.1_ASM252v1_assembly_report.txt
ztritici_eg_gene	Zymoseptoria tritici genes (MG2)	MG2	Zymoseptoria tritici	336722	GCA_000219625.1	fungi_mart	11091	3989	878	2043	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/219/625//GCA_000219625.1_MYCGR_v2.0/GCA_000219625.1_MYCGR_v2.0_assembly_report.txt
abrachyrhynchus_gene_ensembl	Pink-footed goose genes (ASM259213v1)	ASM259213v1	Anser brachyrhynchus (Pink-footed goose)	132585	GCA_002592135.1	genes_mart	22641	13407	1642	3841	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/592/135//GCA_002592135.1_ASM259213v1/GCA_002592135.1_ASM259213v1_assembly_report.txt
acalliptera_gene_ensembl	Eastern happy genes (fAstCal1.2)	fAstCal1.2	Astatotilapia calliptera (Eastern happy)	8154	GCA_900246225.3	genes_mart	28001	6262	879	2489	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/246/225//GCA_900246225.3_fAstCal1.2/GCA_900246225.3_fAstCal1.2_assembly_report.txt
acarolinensis_gene_ensembl	Green anole genes (AnoCar2.0v2)	AnoCar2.0v2	Anolis carolinensis (Green anole)	28377	GCA_000090745.2	genes_mart	26479	13094	1706	4073	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/090/745//GCA_000090745.2_AnoCar2.0/GCA_000090745.2_AnoCar2.0_assembly_report.txt
acchrysaetos_gene_ensembl	Golden eagle genes (bAquChr1.2)	bAquChr1.2	Aquila chrysaetos chrysaetos (Golden eagle)	223781	GCA_900496995.2	genes_mart	17052	13531	1650	3907	https://ftp.ncbi.nih.gov/genomes/all/GCA/900/496/995//GCA_900496995.2_bAquChr1.2/GCA_900496995.2_bAquChr1.2_assembly_report.txt
acitrinellus_gene_ensembl	Midas cichlid genes (Midas_v5)	Midas_v5	Amphilophus citrinellus (Midas cichlid)	61819	GCA_000751415.1	genes_mart	24528	6248	885	2475	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/751/415//GCA_000751415.1_Midas_v5/GCA_000751415.1_Midas_v5_assembly_report.txt
amelanoleuca_gene_ensembl	Giant panda genes (ASM200744v2)	ASM200744v2	Ailuropoda melanoleuca (Giant panda)	9646	GCA_002007445.2	genes_mart	24462	14042	1700	4208	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/007/445//GCA_002007445.2_ASM200744v2/GCA_002007445.2_ASM200744v2_assembly_report.txt
amexicanus_gene_ensembl	Mexican tetra genes (Astyanax_mexicanus-2.0)	Astyanax_mexicanus-2.0	Astyanax mexicanus (Mexican tetra)	7994	GCA_000372685.2	genes_mart	27420	6349	882	2472	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/372/685//GCA_000372685.2_Astyanax_mexicanus-2.0/GCA_000372685.2_Astyanax_mexicanus-2.0_assembly_report.txt
anancymaae_gene_ensembl	Ma's night monkey genes (Anan_2.0)	Anan_2.0	Aotus nancymaae (Ma's night monkey)	37293	GCA_000952055.2	genes_mart	28962	13862	1675	4071	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/952/055//GCA_000952055.2_Anan_2.0/GCA_000952055.2_Anan_2.0_assembly_report.txt
aocellaris_gene_ensembl	Clown anemonefish genes (AmpOce1.0)	AmpOce1.0	Amphiprion ocellaris (Clown anemonefish)	80972	GCA_002776465.1	genes_mart	24773	6277	889	2497	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/776/465//GCA_002776465.1_AmpOce1.0/GCA_002776465.1_AmpOce1.0_assembly_report.txt
apercula_gene_ensembl	Orange clownfish genes (Nemo_v1)	Nemo_v1	Amphiprion percula (Orange clownfish)	161767	GCA_003047355.1	genes_mart	24840	6298	896	2506	https://ftp.ncbi.nih.gov/genomes/all/GCA/003/047/355//GCA_003047355.1_Nemo_v1/GCA_003047355.1_Nemo_v1_assembly_report.txt
aplatyrhynchos_gene_ensembl	Mallard genes (ASM874695v1)	ASM874695v1	Anas platyrhynchos (Mallard)	8839	GCA_008746955.1	genes_mart	18490	3949	752	1960	https://ftp.ncbi.nih.gov/genomes/all/GCA/008/746/955//GCA_008746955.1_CAU_Wild1.0/GCA_008746955.1_CAU_Wild1.0_assembly_report.txt
apolyacanthus_gene_ensembl	Spiny chromis genes (ASM210954v1)	ASM210954v1	Acanthochromis polyacanthus (Spiny chromis)	80966	GCA_002109545.1	genes_mart	24565	6235	890	2500	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/109/545//GCA_002109545.1_ASM210954v1/GCA_002109545.1_ASM210954v1_assembly_report.txt
